,Unnamed: 0,城市,2019平均房价
525,525,临沂市,6578元/㎡
526,526,潍坊市,6854元/㎡
527,527,莱芜市,6889元/㎡
528,528,济宁市,7391元/㎡
529,529,诸城市,7421元/㎡
530,530,东营市,7611元/㎡
531,531,滨州市,7791元/㎡
532,532,德州市,8166元/㎡
533,533,淄博市,8387元/㎡
534,534,日照市,8704元/㎡
535,535,章丘市,9215元/㎡
536,536,聊城市,9825元/㎡
537,537,烟台市,9981元/㎡
538,538,威海市,10096元/㎡
539,539,泰安市,10877元/㎡
540,540,济南市,17448元/㎡
541,541,青岛市,18047元/㎡
542,542,太原市,12033元/㎡
543,543,晋中市,7639元/㎡
544,544,长治市,7553元/㎡
545,545,晋城市,7467元/㎡
546,546,临汾市,5348元/㎡
547,547,忻州市,5239元/㎡
548,548,大同市,5159元/㎡
549,549,运城市,4663元/㎡
550,550,吕梁市,4536元/㎡
551,551,阳泉市,4379元/㎡
552,552,朔州市,3675元/㎡
553,553,朔州市,3675元/㎡
554,554,阳泉市,4379元/㎡
555,555,吕梁市,4536元/㎡
556,556,运城市,4663元/㎡
557,557,大同市,5159元/㎡
558,558,忻州市,5239元/㎡
559,559,临汾市,5348元/㎡
560,560,晋城市,7467元/㎡
561,561,长治市,7553元/㎡
562,562,晋中市,7639元/㎡
563,563,太原市,12033元/㎡
564,564,成都市,13440元/㎡
565,565,凉山市,9184元/㎡
566,566,绵阳市,7644元/㎡
567,567,宜宾市,6841元/㎡
568,568,达州市,6801元/㎡
569,569,南充市,6652元/㎡
570,570,广元市,6624元/㎡
571,571,遂宁市,6422元/㎡
572,572,资阳市,6418元/㎡
573,573,泸州市,6295元/㎡
574,574,内江市,5984元/㎡
575,575,眉山市,5969元/㎡
576,576,乐山市,5918元/㎡
577,577,雅安市,5906元/㎡
578,578,德阳市,5672元/㎡
579,579,广安市,5549元/㎡
580,580,自贡市,5376元/㎡
581,581,攀枝花市,5176元/㎡
582,582,巴中市,4837元/㎡
583,583,巴中市,4837元/㎡
584,584,攀枝花市,5176元/㎡
585,585,自贡市,5376元/㎡
586,586,广安市,5549元/㎡
587,587,德阳市,5672元/㎡
