城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口占比,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  忻州市,2.430417995,7.90E-03,0.669615303,2.20E-03,-2.344186692,-7.60E-03,-0.780389423,-2.50E-03,-0.360433107,-1.20E-03,6.965619622,2.22E-02,6.826438651,2.17E-02
  临汾市,-16.03209443,-3.81E-02,-10.41289722,-2.44E-02,-6.82109077,-1.57E-02,10.41774464,2.39E-02,11.26566753,2.56E-02,11.92267198,2.69E-02,10.68161021,2.40E-02
  吕梁市,-19.28404839,-5.33E-02,-20.08294279,-5.53E-02,-15.08942562,-4.03E-02,-17.52955761,-4.66E-02,-10.40089779,-2.73E-02,-5.205352958,-1.36E-02,-6.651876738,-1.73E-02
  呼和浩特市,41.66065065,1.55E-01,49.19982011,1.77E-01,56.97628677,1.97E-01,62.54903116,2.14E-01,63.686061,2.11E-01,65.92872975,2.17E-01,66.41415218,2.16E-01
  包头市,35.62575919,1.40E-01,41.2412755,1.58E-01,45.65096643,1.71E-01,47.72481286,1.76E-01,54.56915424,1.96E-01,57.56499603,2.05E-01,60.34065328,2.12E-01
  乌海市,0.454817528,9.40E-03,-1.974795507,-3.87E-02,-0.118788888,-2.20E-03,-0.309482575,-5.70E-03,-0.035146837,-6.00E-04,11.0098166,1.98E-01,11.70465807,2.10E-01
  赤峰市,-25.2456163,-5.82E-02,-24.27126621,-5.60E-02,-27.01204653,-6.24E-02,-29.58448845,-6.85E-02,-35.29536421,-8.20E-02,-32.46639557,-7.55E-02,-32.77051807,-7.62E-02
  通辽市,-10.19672585,-3.30E-02,-10.33762874,-3.35E-02,-6.278569108,-2.00E-02,-6.355135616,-2.03E-02,-6.912421332,-2.21E-02,-7.131755069,-2.28E-02,-6.719178521,-2.15E-02
  鄂尔多斯市,11.30869048,7.03E-02,-1.446095646,-9.60E-03,39.23948373,1.99E-01,48.0751697,2.40E-01,46.62037352,2.30E-01,46.6802317,2.29E-01,46.01995935,2.25E-01
  巴彦淖尔市,0.218173155,1.30E-03,-16.21079491,-9.53E-02,-20.17580593,-1.21E-01,-20.07498976,-1.21E-01,-11.369124,-6.80E-02,-7.260377358,-4.34E-02,-6.978707783,-4.15E-02
  大连市,29.70177307,4.83E-02,77.38195254,1.17E-01,85.20902021,1.27E-01,90.10172169,1.32E-01,102.04762,1.47E-01,104.985048,1.50E-01,102.6970145,1.47E-01
  鞍山市,-1.028194763,-2.90E-03,11.92000924,3.28E-02,0.001093457,0.00E+00,0.601430408,1.70E-03,8.649401735,2.42E-02,15.0992196,4.18E-02,14.69557387,4.07E-02
  抚顺市,0.291285774,1.30E-03,-6.808804114,-3.18E-02,-6.994841612,-3.28E-02,-7.998284113,-3.79E-02,-8.750113594,-4.19E-02,-8.159389047,-3.93E-02,-7.752425673,-3.74E-02
  本溪市,0.105908115,7.00E-04,15.39278827,9.05E-02,18.2104208,1.06E-01,19.36809755,1.12E-01,20.54897686,1.19E-01,20.93921071,1.22E-01,21.35094424,1.25E-01
  阜新市,0.132819536,7.00E-04,-10.39930928,-5.71E-02,-10.73274169,-5.92E-02,-11.2516796,-6.24E-02,-12.09739685,-6.76E-02,-11.26729409,-6.32E-02,-11.34801359,-6.39E-02
  朝阳市,-13.10725006,-3.98E-02,-34.44412333,-1.13E-01,-39.0650648,-1.29E-01,-41.35309605,-1.38E-01,-42.95081938,-1.44E-01,-44.65263413,-1.51E-01,-45.9481573,-1.56E-01
  葫芦岛市,-1.25234107,-4.50E-03,-19.97849966,-7.63E-02,-19.06126508,-7.27E-02,-20.39752427,-7.86E-02,-23.19652047,-9.01E-02,-24.50399631,-9.59E-02,-24.60417406,-9.63E-02
  吉林市,-3.542777087,-8.20E-03,0.078247547,2.00E-04,0.382032447,9.00E-04,1.257961738,2.90E-03,0.679149564,1.60E-03,0.713777017,1.70E-03,2.350392611,5.50E-03
