城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  黄石市,-15.94964346,-6.57%,-17.3708017,-7.16%,-16.89991595,-6.95%,-17.73492495,-7.28%,-20.38958149,-8.33%,-22.61008151,-9.22%,-23.82309128,-9.68%
  十堰市,-29.41159565,-9.08%,-6.747154277,-1.95%,-13.61807527,-4.07%,-10.33212743,-3.08%,-9.728906864,-2.88%,-7.640189951,-2.26%,-8.397310078,-2.47%
  宜昌市,2.852264583,0.71%,6.709160315,1.66%,7.611254343,1.87%,8.836858104,2.17%,9.741549582,2.38%,12.79620204,3.11%,18.25188379,4.43%
  鄂州市,-3.85063558,-3.72%,-4.280045858,-4.11%,-4.410266062,-4.20%,-4.047691382,-3.84%,-4.320368229,-4.08%,-4.370178755,-4.13%,-4.59988264,-4.32%
  荆门市,-16.29300085,-5.72%,-14.19905132,-4.96%,-14.21802228,-4.94%,-14.04267577,-4.87%,-11.48383358,-3.98%,-9.8275,-3.40%,-10.12006861,-3.49%
  孝感市,-60.3463163,-12.88%,-49.58878533,-10.30%,-46.92816901,-9.74%,1.025862234,0.19%,-39.98059231,-8.23%,-39.51301698,-8.11%,-33.89154982,-6.93%
  荆州市,-14.74111476,-2.28%,-88.98525804,-15.63%,-92.32051619,-16.19%,-91.37000765,-15.98%,-84.08780166,-14.64%,-72.60704036,-12.73%,-76.20953638,-13.38%
  黄冈市,-71.42734993,-10.69%,-99.90944117,-15.55%,-128.1843151,-20.74%,-127.5548387,-20.55%,-110.498063,-17.51%,-115.3169994,-18.33%,-116.3895444,-18.46%
  咸宁市,-38.99966648,-15.50%,-44.69657059,-18.15%,-48.77474289,-19.78%,-50.75310643,-20.54%,-47.78965695,-19.21%,-50.59916428,-20.25%,-52.35214755,-20.80%
  随州市,-37.62319683,-17.09%,-39.39087699,-18.03%,-42.79466421,-19.76%,-39.5013327,-18.17%,-38.90419834,-17.83%,-32.23462396,-14.74%,-32.37163991,-14.74%
  长沙市,9.795393854,1.48%,31.9546047,4.67%,49.96714447,7.07%,51.26831363,7.20%,55.25206207,7.60%,56.81183372,7.71%,57.84773046,7.67%
  株洲市,-10.59855462,-2.85%,-10.7078943,-2.82%,-4.502545077,-1.16%,-6.42845142,-1.65%,-1.329224895,-0.34%,-4.851862737,-1.22%,-3.160081184,-0.79%
  湘潭市,-17.38049008,-6.25%,-12.37810031,-4.48%,-14.45667558,-5.24%,-14.51986421,-5.24%,-10.88230775,-3.88%,-7.460246566,-2.65%,-6.921890638,-2.45%
  衡阳市,-64.60802359,-9.57%,-96.02388854,-13.80%,-80.86532128,-11.30%,-81.98817228,-11.42%,-63.81772636,-8.77%,-67.21560752,-9.18%,-67.8324449,-9.28%
  邵阳市,-85.92536751,-12.67%,-99.19611769,-14.28%,-88.56321794,-12.49%,-87.42244898,-12.25%,-97.99737113,-13.59%,-97.3155001,-13.44%,-100.8544813,-13.83%
  岳阳市,-40.32375357,-7.78%,-18.00078975,-3.29%,-20.67362038,-3.77%,-22.58041433,-4.10%,-5.584400986,-1.00%,-3.173565693,-0.57%,-5.477677269,-0.97%
  张家界市,-15.01735518,-9.99%,-15.42218869,-10.33%,-19.98744149,-13.47%,-20.49036985,-13.70%,-20.52752578,-13.54%,-17.82033135,-11.71%,-18.3377709,-12.01%
  益阳市,-50.0978644,-11.92%,-53.36884851,-12.62%,-47.57670765,-11.04%,-49.0655778,-11.34%,-44.97538817,-10.26%,-40.73295165,-9.26%,-41.86444392,-9.47%
  永州市,-73.44045065,-14.31%,-94.9751311,-18.42%,-110.8373294,-21.30%,-96.75876773,-18.48%,-95.21249228,-17.77%,-94.44550988,-17.46%,-100.2577234,-18.40%
  怀化市,-44.23080143,-9.52%,-40.0778735,-8.53%,-38.85305344,-8.19%,-40.20953468,-8.44%,-40.75090282,-8.41%,-29.44676899,-6.03%,-31.91222164,-6.50%
  娄底市,-27.3427162,-6.95%,-46.68076214,-12.08%,-56.91506126,-15.02%,-57.53231691,-15.13%,-60.6104002,-15.77%,-61.48345892,-15.92%,-64.69801431,-16.66%
  广州市,231.2004239,22.54%,231.0887382,22.28%,458.4498627,36.01%,457.2142245,35.73%,457.9683043,35.22%,474.8855133,35.73%,507.2302424,36.83%
  韶关市,-29.48777226,-9.96%,-31.03398565,-10.45%,-45.69242003,-16.09%,-40.56346603,-14.19%,-39.02296671,-13.45%,-38.18851701,-13.08%,-39.61708708,-13.46%
  深圳市,638.0694054,72.18%,636.6036246,71.01%,774.0693537,74.29%,763.1403912,72.63%,738.1916987,68.96%,752.8913432,67.96%,779.3560578,66.93%
  珠海市,45.96392188,30.93%,45.0296073,30.07%,50.46151191,32.25%,50.91005017,32.32%,50.02489853,31.22%,49.96488782,30.76%,50.47283457,30.50%
  汕头市,-2.577584008,-0.51%,-11.83275424,-2.31%,11.25994236,2.08%,10.35561359,1.91%,3.546245313,0.64%,3.324270129,0.60%,-2.441321209,-0.44%
  佛山市,229.8586845,38.47%,230.4445286,38.32%,346.7063595,48.05%,346.9433009,47.88%,346.7183522,47.35%,350.0874798,47.37%,344.665263,46.28%
  江门市,25.69313669,6.16%,28.59720098,6.79%,52.11187444,11.69%,55.61460455,12.43%,57.05387893,12.67%,60.13497259,13.32%,59.17581594,13.06%
  湛江市,-68.31943173,-9.83%,-78.07227578,-11.16%,-88.4509498,-12.57%,-26.88578533,-3.55%,-100.0344685,-13.91%,-100.273242,-13.88%,-109.280383,-15.06%
  茂名市,-119.0369633,-19.32%,-124.4557143,-19.99%,-175.8406058,-30.03%,-156.3978579,-26.40%,-169.3265744,-28.08%,-179.3451086,-29.57%,-188.7980838,-30.94%
  肇庆市,-29.12395048,-7.57%,-32.31515879,-8.28%,-33.22120564,-8.44%,-30.9120931,-7.79%,-30.80346108,-7.65%,-33.50114855,-8.28%,-36.79006604,-9.03%
  惠州市,70.59870907,17.87%,61.35453695,15.39%,118.7327657,25.71%,123.4843689,26.53%,122.833459,26.06%,117.0328521,24.69%,112.5263739,23.61%
  梅州市,-93.84988692,-22.70%,-98.86224213,-23.77%,-91.96287072,-21.61%,-93.29096126,-21.79%,-97.0938867,-22.50%,-110.5793929,-25.53%,-115.9272636,-26.65%
  汕尾市,-48.72906009,-16.69%,-50.38387661,-17.10%,-52.50232309,-17.82%,-51.00051436,-17.22%,-59.45393681,-19.84%,-57.5467579,-19.09%,-59.09034405,-19.51%
  河源市,-57.84300976,-19.87%,-66.91119502,-22.96%,-69.806101,-23.50%,-55.49949357,-18.52%,-60.25771184,-19.75%,-59.5734029,-19.42%,-65.2731724,-21.21%
  阳江市,-37.40990059,-15.70%,-43.11609875,-17.99%,-41.0864719,-16.87%,-36.75725842,-14.96%,-40.44412203,-16.25%,-41.58733074,-16.60%,-44.02078087,-17.47%
  清远市,-30.87899899,-8.17%,-29.30559274,-7.63%,-44.41386282,-11.94%,-30.50523426,-8.13%,-31.7869905,-8.35%,-35.8264231,-9.36%,-47.97564755,-12.49%
  中山市,103.5541307,41.19%,103.1311878,40.87%,162.5514211,51.89%,162.8636217,51.73%,162.2291874,50.96%,161.43407,50.43%,160.9810799,50.00%
  揭阳市,-72.73313723,-12.62%,-80.70935762,-13.89%,-79.37492782,-13.46%,-80.32750297,-13.53%,-92.69858108,-15.41%,-96.97214526,-16.04%,-89.34589881,-14.70%
  云浮市,-34.48233399,-14.29%,-38.12934903,-15.59%,-48.99670968,-20.66%,-47.21589245,-19.69%,-50.54639659,-20.75%,-53.67874476,-21.89%,-53.93470256,-21.83%
  南宁市,-3.111027569,-0.45%,-4.746746546,-0.68%,-2.069806236,-0.29%,-1.012822702,-0.14%,-2.660926495,-0.37%,-45.23022419,-6.51%,-49.5873907,-7.06%
  柳州市,2.187870347,0.59%,0.660014192,0.18%,2.833247275,0.75%,8.619887017,2.26%,9.224647233,2.38%,8.843045066,2.26%,8.072007,2.05%
  桂林市,-1.657381662,-0.32%,-35.83299711,-7.42%,39.90642395,7.10%,-40.71609777,-8.46%,-36.51579597,-7.45%,-34.9409629,-7.07%,-35.45050466,-7.11%
